datetime,sessionTime,posX,posY,posZ,q0,qi,qj,qk,pitch,yaw,roll
230423211745.322,0.120,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211745.444,0.240,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211745.565,0.360,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211745.683,0.480,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211745.804,0.600,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211745.923,0.720,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211746.044,0.840,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211746.164,0.960,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211746.282,1.080,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211746.403,1.200,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211746.522,1.320,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211746.642,1.440,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211746.762,1.560,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211746.882,1.680,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211747.002,1.800,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211747.122,1.920,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211747.243,2.040,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211747.362,2.160,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211747.483,2.280,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211747.602,2.400,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211747.722,2.520,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211747.842,2.640,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211747.963,2.760,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211748.083,2.880,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230423211748.205,3.000,0.0000,1.0000,-4.6160,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
